#Gen gab gaB gAb gAB D D_prime r sigma2 sk2 delta X2 OR logOR dev_ab dev_aB dev_Ab dev_AB log_dev_ab log_dev_aB log_dev_Ab log_dev_AB recomb_diff anst_diff recomb_diff_pro anst_diff_pro pA pB ds_recomb ds_anst recomb
11 0.210831514920438 0.380729323018289 0.375913756367181 0.0325254056940925 -0.136264009419051 -0.807301863850349 -0.562968444504942 0.499492388312549 0.630719066102635 0.131226677790086 0.262720075141511 0.0479130377163617 -3.03836762545586 -0.0760253753328582 0.0851915278527911 0.0838791510137818 -0.0274319646386719 0.839410939259611 1.21672246812054 1.21305125369938 0.938789093232088 0.178306109226345 -0.00481556665110798 0.469695148817458 0.00776229709259639 0.408439162061274 0.413254728712381 -0.00824975044857168 -0.00274980590623408 0.1
12 0.228502210043786 0.372886935899842 0.367606209434706 0.0310046446216664 -0.12999092323619 -0.807419266044389 -0.541085190453896 0.499236030238804 0.614150317200532 0.114914286961729 0.230180275463613 0.051684123535063 -2.96260463292567 -0.0763040666140001 0.080046193996872 0.0786733009797502 -0.0249582848817578 0.83887245333331 1.20239232100692 1.19859731635038 0.94415156015168 0.197497565422119 -0.0052807264651367 0.507056976001522 0.00864980711615809 0.398610854056372 0.403891580521509 -0.00899967601710627 -0.0029997480160695 0.1
13 0.245613193126119 0.365283453352982 0.359542216079563 0.0295611374413359 -0.12407421695632 -0.807588965721897 -0.52061734059327 0.49890594288469 0.598911203470286 0.100005260585596 0.200449126757966 0.0552831703838013 -2.89528674979603 -0.0763429405358534 0.0752501055704194 0.0738254265322997 -0.0227299612740678 0.838797368790177 1.18918687034226 1.18529220017547 0.949008361085752 0.216052055684783 -0.00574123727341831 0.541146754383414 0.00955675970445619 0.389103353520899 0.394844590794317 -0.00974958808802462 -0.00324967962814438 0.1
14 0.262176878895208 0.357912123794121 0.35171529941726 0.0281956978934112 -0.11849090971335 -0.807782739314563 -0.501437415967481 0.498495064708057 0.584885851847935 0.086390787139878 0.173303194466875 0.058723180267653 -2.834920736271 -0.0761712494568971 0.0707785706069078 0.0693100358914117 -0.0207219634714834 0.839129038893755 1.17700571235356 1.17303247585438 0.953406342061163 0.233981181001796 -0.0061968243768605 0.572272136608779 0.0104828990180136 0.379910997310672 0.386107821687532 -0.0104994855369726 -0.00349959986806503 0.1
15 0.278206878241115 0.350767054369221 0.344119786409981 0.0269062809796823 -0.113220371392759 -0.807985986076593 -0.483435650192417 0.497997540757721 0.571968004711869 0.0739704639541481 0.148535801686087 0.0620144784907762 -2.78038739715476 -0.0758162246552725 0.0666090998377403 0.0651038875435556 -0.0189115307489494 0.839815286207043 1.16575986652756 1.16172647709023 0.957389079225952 0.251300597261433 -0.0066472679592399 0.600718275900233 0.011427971714188 0.371026067389664 0.377673335348903 -0.0112493672397023 -0.00374950786153838 0.1
16 0.29371763927105 0.343842598838947 0.336750204201768 0.0256895576882354 -0.108243589134176 -0.808191188680883 -0.466515486594178 0.49740873304423 0.560059441718469 0.0626507086742398 0.125954179153242 0.0651657063976289 -2.73082192391965 -0.0753027775220795 0.0627208394024521 0.0611854269002836 -0.0172781344435364 0.840808749776923 1.15536934240285 1.15129184098639 0.960996631900224 0.268028081582815 -0.00709239463717904 0.6267452096399 0.0123917260037282 0.362439761890003 0.369532156527182 -0.0119992320720823 -0.00399940273437993 0.1
17 0.308724170171124 0.337133103654508 0.329601032796327 0.0245416933780409 -0.103542805231627 -0.808394507965943 -0.450590848647386 0.496725190427831 0.549069252033892 0.0523440616060614 0.105378311015347 0.0681844269920552 -2.685539083432 -0.0746534457598835 0.0590943020624308 0.0575345185707118 -0.0158033440702283 0.842066818207544 1.14576170344087 1.14165404189812 0.964265560631088 0.284182476793083 -0.00753207085818148 0.650587996768207 0.0133739112103801 0.354142726174368 0.361674797032549 -0.012749078910104 -0.00424928361252153 0.1
18 0.32324182319682 0.330632822194135 0.322666624628656 0.02345872998039 -0.0991013340800848 -0.808594013390734 -0.43558436247582 0.495944588741724 0.538913430961124 0.0429688422194001 0.0866404094223865 0.071077481977645 -2.64398470151106 -0.0738884662350199 0.0557112331237519 0.0541323115111828 -0.0144706572902148 0.843551367423666 1.13687111713833 1.13274541120489 0.967229074390912 0.299783093216429 -0.00796619756547963 0.672458107032215 0.0143742776857453 0.346125354609046 0.354091552174525 -0.0134989066298911 -0.00449914962201825 0.1
19 0.337286123995677 0.324335905302727 0.315941199562373 0.0224367711392235 -0.0949034634099648 -0.808788765205526 -0.421426106909663 0.495065650247418 0.529514576020332 0.0344489257729138 0.0695845606652317 0.0738511972653724 -2.60570305801196 -0.0730259100218317 0.0525545340756638 0.0509611607775295 -0.0132653219449046 0.845228417303284 1.128637650926 1.1245044043499 0.969917238203865 0.314849352856453 -0.00839470574035421 0.692545310976249 0.0153925769458824 0.338377970701596 0.34677267644195 -0.0142487141077076 -0.00474899988905741 0.1
20 0.350872635153602 0.318236424083397 0.309418871507304 0.0214720692556972 -0.0909343936904575 -0.808978339030356 -0.408052669979823 0.494088049976625 0.520801593577148 0.0267135436005234 0.0540663624667449 0.076511499615239 -2.570314227679 -0.0720818446363828 0.0496082085926349 0.0480045709979535 -0.0121741631539438 0.847067765586127 1.12100670080371 1.11687500295291 0.972357205561515 0.329400565897904 -0.00881755257609235 0.711019701188798 0.016428561930184 0.330890940763002 0.339708493339094 -0.0149985002199653 -0.00499883353996577 0.1
